№,Слово,see also,Значение / комментарий,Комментарий диалектолога
1,абахъ,квар,,
2,акъа,"ада, ункъачо","тётя, тётушка",
3,аланж,"месед, сус",корь,
4,анибехъа,,сюда же,
5,анлъхур,итни,понедельник,
6,арбахӏаб,,себе на уме,
7,ахакь,гъоркь,внизу | под чем-либо,
8,ахта-гудазаби,"ахтазаби, ахцазаби",,
9,ахта-гудазабизе,"ахта-гудазе (from), ахтазабизе, ахцазабизе",,
10,ахта-гудазе,"ахтазе, ахцазе",,
11,ахта-гудай,"ахтай, ахцай",,
12,ахтазаби,"ахта-гудазаби, ахцазаби",,
13,ахтазабизе,"ахтазе (from), ахта-гудазабизе, ахцазабизе",,
14,ахтазе,"ахта-гудазе, ахцазе",,
15,ахтай,"ахтазе (from), ахта-гудай, ахцай",,
16,ахӏизе,турки,"кричать | (по)звать, подозвать, вызывать, вызвать; взывать | призывать, призвать к чему-либо; требовать | приглашать, пригласить; (за)звать | созывать, созвать | (по)звонить | (с)петь | гнать",
17,бабалай,,бабушка по матери,
18,бабу,баба,,
19,багъир,,таз,
20,багьалъи,хиралъи,,
21,багьалъизаби,хиралъизаби,,
22,багьалъизабизе,хиралъизабизе,,
23,багьалъизе,хиралъизе,,
24,багьаяб,хирияб,,
25,багӏ,,марена,
26,багӏаникӏ,,лещина,
27,багӏаржо,ургьисала,почка,
28,багӏартӏегь,,мак,
29,багӏра,,"зарево, заря",
30,бажу,"ада, ункъачо, ункъгӏал",тётя,
31,базакин,,рододендрон жёлтый золотистый,
32,базин,,,
33,базинаби,,,
34,базинабизе,базине (from),,
35,базине,,"(по)бить, избить, (по)драить",
36,байгъуш,,филин,
37,бакари,мучари,лепёшка,
38,бакъда,"бакълъи, бакъалда",на солнечной стороне; на солнечном склоне; [горы],
39,бакълачӏин,,перхоть,
40,бакъош,бакъдебусс,,
41,бакьбучч,бакьуч,барсук,
42,бакьбуччалъул,"бакьбучч (from), бакьучалъул",[родительный падеж],
43,бакӏибусен,,"топчан, койка",
44,бакӏу,бакӏ,"стул, табурет, табуретка",
45,баракат,баркат,,
46,бардах,,глиняный кувшин для содержания воды,
47,бартурахъ,,"основная канава, от чего разветляется вода; [при орошении]",
48,барщахараб,барщудхьараб,переспелый,
49,барщахин,,,
50,барщахине,,переспеть,
51,бахьлъор,,осина,
52,бахӏаран,,колокольчик,
53,бахӏбакӏо,,бахбако; [вид старинного женского головного убора],
54,бача,парча,"тучка, облако | щит; [воина] | клок, кусок, отрезок",
55,башла,байбихьизе,,
56,бебечу,милъиршо,ласточка,
57,бегьи,бачӏин,,
58,бегьизаби,,,
59,бегьизабизе,бегьизе (from),,
60,бегьизе,бачӏине,"приходить, прийти, прибывать, прибыть",
61,бегӏекӏо,,шишка,
62,бежахин,,,
63,бежахине,,перепечься,
64,бели,,тополь,
65,белъахин,,,
66,белъахинаби,,,
67,белъахинабизе,,переварить,
68,бергъу,,"сарай, навес, шалаш",
69,беркал,,расстегаи,
70,бесдалтӏегь,,одуванчик,
71,бетӏергьан,бетӏергьанчи,"собственник и собственница; владелец и владелица; обладатель и обладательница; хозяин и хозяйка; господин и госпожа | владыка, господь, бог | муж",
72,бетӏерияб,,главный,
73,бетӏеркъай,,"головная повязка; [у ребёнка, у некоторых горянок]",
74,бетӏер-магъ,,начало и конец; суть; истина,
75,бехе,эхебе,,
76,бехи,,,
77,бехизе,беэдизе,,
78,бецӏрогьалилъ,,ранним утром,
79,бечекъинлъ,,"тёлка ранней половой зрелости, течки",
80,бидия,,медный кувшин; [для содержания молока и масла],
81,бикъа-бахчи,,,
82,бикъа-бахчизе,бахчизе,"(с)прятаться; (при)таиться; скрываться, скрыться; (за)маскироваться | (с)прятать; скрывать, скрыть; укрывать, укрыть; утаивать, утаить; (за)маскировать, замаскировывать что-либо",
83,бикъа-бахчун,бикъа-бахчизе (from),"тайком, незаметно",
84,билаб,,"яркий, светлый",
85,бихьинкилищ,,средний палец,
86,бихьинмахӏаб,бихьинаб,мужеподобный,
87,бицардизе,"гаргадизе, бицаризе","разговаривать, переговариваться",
88,бицардухъан,,говорун и говорунья,
89,бицаризе,семизе,"упрекать, порицать; (по)ругать кого-либо; (по)ругаться с кем-либо",
90,бичизе,,"продаваться | продавать, продать кого-что-либо | предавать, выдавать | лишаться, лишиться чего-либо | решать, решить",
91,бичӏчӏ,бичӏчӏи,,
92,бишхи,хъухъадиро,пила,
93,бог,,"ужин, вечерняя еда | мамалыга, каша из кукурузной муки",
94,богӏорцо,,"торба, сума; кожаный дорожный мешочек для толокна и другие пищи | обжора",
95,богӏоч,богӏоло,,
96,божкъел,,неожиданность,
97,божкъелалда,,неожиданно,
98,бокӏон,кверкьей,"угол | клетка | место, где выражают соболезнование родственникам покойного",
99,боли,,,
100,болизе,,убегать при укусе слепня; [о животных],
101,болъо,мали,лестница; [неприставная] | лестничная ступенька | лестница; [приставная],
102,боргьараб,,суббота,
103,бори,,горячие угли,
104,боризе,,(вс)кипятить,
105,ботӏиш,,ботиш (вид национального блюда); чуду,
106,бохизабизе,,"(по)радовать кого-либо; доставлять, доставить радость кому-либо; (по)веселить, развеселить кого-либо; увеселять кого-либо | вызивать, вызвать смех",
107,бохизе,,"(по)радоваться, обрадоваться чему-либо; (по)веселиться, развеселиться | смеяться",
108,бохижал,,обувь,
109,бохӏин,,,
110,бохӏине,,"разлагаться, тлеться",
111,бугьи,"квач, цӏорой","мороз, холод",
112,бугьун,,деревянная лопатка; [для веяния зерна на гумне] | ложка,
113,бузе,гьабизе,,
114,буй,гьаби,,
115,букъдуч,"киса, чванта",карман,
116,букӏдиб,,"в месте, где выражают соболезнование; в доме, где оплакивают покойника",
117,булук,тӏел,"часть отары, отбывшаяся от остальных овец",
118,бунахӏ,мунагь,грех,
119,бурди,,"чижик; [чурочка для игры — палочка, по которой бьют палкой в игре в чижика] | палочка | балясина; [выточенная на токарном станке палка для перил] | черенок; [виноградной лозы]",
120,бурди-гӏантӏ,бурди-тӏил,,
121,бурма,,чайное блюдце,
122,бурмахӏутӏ,,шелкопряд,
123,бурогъил,рукъи,"заплата, латка",
124,бурукь,"гьанамагӏ, пинкь",мозоль,
125,бутунабго,бутунго,,
126,бутунго,"кинабго, тӏолабго","весь, полностью; абсолютно; целиком",
127,бутӏи,,,
128,бутӏизе,,"надоедать, осточертеть",
129,бухари,,"дымоход, камин | открытый очаг скотоводов, выложенный из плит квадратной формы",
130,бухарирахъ,,"закрытый канал, по которому проводят воду для полива",
131,бухча,"киса, чванта","женская сумочка из ткани | конверт, пакет | карман",
132,бухъаро,"газа, хъинцӏи","тяпка, кирка; местный род мотыги",
133,буцӏизе,,"(об)тесать, (об)строгать что-либо | (о)чинить, (на)точить, заточить что-либо",
134,буцӏура,,клевер,
135,бучӏенчӏахӏатӏ,тӏуб,боярышник,
136,вагъи,багъи,,
137,вагъизави,багъизаби,,
138,вагъизавизе,багъизабизе,(рас)сердить кого-либо,
139,вагъизе,багъизе,"(рас)сердиться на кого-либо; браниться, ругаться с кем-либо; (по)бранить, (по)ругать, обругать кого-либо",
140,васандухъан,"ясандухъан, расандухъаби","танцор, плясун",
141,вехи,,увеселение; [жениха перед свадьбой у приятеля или родственника],
142,вехизе,,увеселять; [жениха перед свадьбой у приятеля или родственника жениха],
143,вирулагь,,"понос, расстройство желудка",
144,гага,,женская грудь,
145,гагакватӏ,,абрикос,
146,гад,,"опарник; [блюдце, в котором приготавливают опару, дрожжи]",
147,гадахӏ,,пенёк,
148,газа,,"кирка, кайло | мотыга",
149,гала,,капкан для зверей,
150,галам,"габани, ганаби",конопля,
151,гала-чӏвали,гара-чӏвари,,
152,гала-чӏвализе,гара-чӏваризе,,
153,гали,"гаргади, гари",,
154,гализе,"гаргадизе, гаризе","говорить, разговаривать; сказать",
155,галъ,малъ,коготь; [птиц],
156,гама,"гамажу, суркӏа","судно, корабль, челн; пароход; ковчег | лодка | миска, тарелка",
157,гамажу,гама,,
158,ганаби,габани,,
159,ганабичӏер,,жареные семена конопли,
160,гарас,"дагъан, хатӏих","вешало, жердь (с сучьями, на которые вешают мясо, продукты и тому подобное); ёлка на свадьбе",
161,гари,"гали, бицин",,
162,гаризе,"гализе, бицине","говорить, разговаривать; рассказывать, рассказать",
163,гвадач,"квелъел, квертӏаххел",варежка,
164,гвала,къандалъо,"мешок, сума",
165,гвандиро,гвангвадиро,,
166,гвед,,сокол-тетеревятник,
167,геж,,круглая по форме творожная масса,
168,гелбахъ,гел,,
169,гелеза,гӏонкӏкӏозаз,астрагал колючий,
170,гемер,,ком,
171,гергу,,чуду,
172,герело,,каталка; скалка (для теста); валёк; [для белья] | колесо,
173,герец,гъарцӏи,облепиха,
174,гермес,,алыча,
175,гиргидиро,михир,каток,
