абстр	30	астр, абстракт	карьеристлъи:senses[0].comment:абстр. || колонизаторлъи:senses[0].comment:абстр имя || нотариуслъи:senses[0].comment:абстр имя
ххам	13	мхах, хам, ахам, охам, храм, хлам, мхам	бадис:senses[0].comment:ххам || габардин#1:senses[0].comment:ххам || гъараман:senses[0].comment:ххам
яркожёлтый	12	ярко жёлтый, ярковатый	кантӏогьил:senses[0].examples[0].ru:сделать яркожёлтым; покрасить в яркожёлтый цвет || кантӏогьилаб:senses[0].text:яркожёлтый; жёлтый как марена || кантӏогьилаб:senses[0].examples[0].ru:яркожёлтый цвет
родп	11	род, прод, роди, рода, роде, подп, роды, роду	афгъаназул:senses[1].text:афганский родп. || габанидул:senses[2].text:пеньковый; родп. || демобилизациялъул:senses[1].text:демобилизационный родп.
хинкалы	10	лысинка	буцизе:senses[0].examples[2].ru:замесив кукурузную муку, приготовили хинкалы || гӏисинхинкӏал:senses[0].text:мелкие хинкалы || лъахь-лъахьи:senses[0].examples[1].ru:когда лиса начала пробовать хинкалы, начиненные углём, она стала жаловаться на шум во рту
указат	10	указа, указать, указан, указав, указал, указам, указах, указ ат, указка, укатка, указ	гъобеле:senses[0].comment:указат.; ниже говорящего || гъовго:senses[0].comment:указат. Ⅰ || гъойго:senses[0].comment:указат. Ⅱ; о женщине, находящейся ниже говорящего
Ахмед	10	Ах мед, Архимед	авадан:senses[0].examples[1].ru:сегодня Ахмед, кажется, в весёлом настроении || агьа:senses[0].examples[2].ru:Ахмед — ваш родственник? — Да || адаб-хъатир:senses[0].examples[1].ru:Ахмед — очень уважительный [к людям] человек
хинкал	9	хитринка	базе:senses[27].examples[1].ru:сварить хинкал || вехьасул:senses[1].examples[4].ru:чабанский хинкал || гвенегадул:senses[1].examples[2].ru:хинкал из просяной муки
тухум	9	тух ум, тухлым	асилаб:senses[0].examples[2].ru:благородный тухум || аслу-тухум:senses[0].text:происхождение, род, тухум || бег:senses[0].examples[0].ru:тухум беков
распрашивать	9	расспрашивать, раскрашивать, спрашивать, распрыскивать, запрашивать, напрашиваться	гьикъа-бакъаризе:senses[0].text:опрашивать, распрашивать кого-либо || гьикъа-бакъи:senses[1].examples[0].ru:опрашивать, распрашивать || гьикъа-бакъизе:senses[0].text:распрашивать, выспрашивать, разузнавать; опросить, опрашивать; спросить, спрашивать; распросить, распрашивать
чарыки	8	чарки, арыки, чарочки	вехьасул:senses[1].examples[5].ru:чарыки, поршни || гвагӏ-гвагӏараб:senses[1].examples[0].ru:грубые чарыки || тӏомохьит:senses[0].examples[0].ru:чабанские чарыки
урбеч	8	уберечь	барсизе:senses[1].examples[0].comment:на урбеч || габанихьон:senses[1].examples[2].ru:урбеч из конопляных семян || ракъикквезе:senses[0].examples[0].ru:покушаешь урбеч с маслом и мёдом, насытишься надолго
кумган	8	курган	бер#1:senses[0].examples[36].comment:гулгун кумган || бесизе:senses[0].examples[0].ru:кумган пропускает || бурбутӏи:senses[0].text:кувшинчик с носиком для воды, кумган
кулин	8	нулик, кули, клин, клину, кулан, кулон, кулис, кулик, кузин, кулич, инулин	гуляш:senses[0].comment:кулин. || долма:senses[0].comment:кулин. || жаркой:senses[0].comment:кулин
взымать	8	вздымать, взимать, изымать, взывать, вымазать, вымазывать	бахъизе:senses[19].text:взымать; содрать, сдирать || бахъизе:senses[19].examples[0].ru:взымать штраф || бахъизе:senses[19].examples[1].ru:взымать дань
