абстр	30	астр	1	карьеристлъи:senses[0].comment:абстр. || колонизаторлъи:senses[0].comment:абстр имя || нотариуслъи:senses[0].comment:абстр имя
яркожёлтый	12	ярко жёлтый	1	кантӏогьил:senses[0].examples[0].ru:сделать яркожёлтым; покрасить в яркожёлтый цвет || кантӏогьилаб:senses[0].text:яркожёлтый; жёлтый как марена || кантӏогьилаб:senses[0].examples[0].ru:яркожёлтый цвет
Ахмед	10	Ах мед	1	авадан:senses[0].examples[1].ru:сегодня Ахмед, кажется, в весёлом настроении || агьа:senses[0].examples[2].ru:Ахмед — ваш родственник? — Да || адаб-хъатир:senses[0].examples[1].ru:Ахмед — очень уважительный [к людям] человек
тухум	9	тух ум	1	асилаб:senses[0].examples[2].ru:благородный тухум || аслу-тухум:senses[0].text:происхождение, род, тухум || бег:senses[0].examples[0].ru:тухум беков
чарыки	8	чарки	1	вехьасул:senses[1].examples[5].ru:чарыки, поршни || гвагӏ-гвагӏараб:senses[1].examples[0].ru:грубые чарыки || тӏомохьит:senses[0].examples[0].ru:чабанские чарыки
кумган	8	курган	1	бер#1:senses[0].examples[36].comment:гулгун кумган || бесизе:senses[0].examples[0].ru:кумган пропускает || бурбутӏи:senses[0].text:кувшинчик с носиком для воды, кумган
яркокрасный	7	ярко красный	1	канчӏбагӏар:senses[0].examples[0].ru:(с)делать яркокрасным, (по)красить в яркокрасный цвет || канчӏбагӏараб:senses[0].text:яркокрасный || канчӏбагӏараб:senses[0].examples[0].ru:яркокрасный цвет
распросы	7	расспросы	1	гьикъа-бакъи:senses[1].text:опрос; распросы || гьикъари:senses[1].text:приветствие при встрече, распросы о здоровье, о житьё-бытьё || гьикъ-бакъ:senses[0].text:опрос, распросы; допрос
Магомед	7	Магомет	1	басра:senses[0].examples[4].ru:Долгой тебе жизни, Алил Магомед, Не издевайся оттого, что я в руках твоих || бецаризе:senses[0].examples[1].ru:Магомед хорошо косит || гъарин:senses[0].examples[3].ru:слушай, Магомед, где ты был целый день?
ярлыга	6	ярлыка	1	вехьасул:senses[1].examples[3].ru:ярлыга || иргъахъ:senses[0].text:ярлыга || иргъахъ:senses[0].examples[0].ru:чабанская ярлыга
яркожёлтым	6	ярко жёлтым	1	кантӏогьил:senses[0].examples[0].ru:сделать яркожёлтым; покрасить в яркожёлтый цвет || кантӏогьиллъизабизе:senses[0].text:понудительная форма (с)делать яркожёлтым; (по)красить в яркожёлтый цвет || кантӏогьиллъизе:senses[0].text:становиться, стать яркожёлтым; принимать, принять яркожёлтый цвет, (по)желтеть
собств	6	удобств	2	апанди:senses[0].comment:титул духовных лиц, прибавляется к собств. имени через дефис || дибир:senses[3].comment:Д прописная буква; имя собств. муж || зиярат:senses[3].comment:собств. имя жен.
собст	6	сост	1	базарган:senses[1].comment:имя собст. муж. || гӏагараб:senses[3].comment:имя собст. муж. || магьди:senses[1].comment:имя собст. муж.
рабадан	6	раба дан	1	кӏалбиччазе:senses[0].comment:каждый вечер в месяц рабадан с наступлением темноты || кӏалкквезе:senses[0].examples[0].comment:в месяц рабадан лунного календаря || кӏалккинамоцӏ:senses[0].text:рабадан
джамаат	6	диамат	2	бихха-хочизе:senses[0].examples[0].ru:из-за этого джамаат не станет волноваться || гъоркь:senses[0].examples[33].ru:грубиян подводит целый джамаат || данделъизабизе:senses[0].examples[0].ru:собрать джамаат
вспылчивый	6	вспыльчивый	1	манзилкъокъаб:senses[0].text:вспылчивый, раздражительный || манзилкъокъаб:senses[0].examples[0].ru:он человек очень вспылчивый || хехаб:senses[4].text:горячий, вспылчивый
байрама	6	бай рама	1	кӏалбиччанкъоялъ:senses[0].text:в день разговения, в день уразы-байрама || кӏалбиччанкъоялъ:senses[0].examples[0].ru:в день уразы-байрама подобает посещать стариков || кӏалбиччансордо:senses[0].text:ночь накануне дня разговения; ночь накануне уразы-байрама
яркозелёный	5	ярко зелёный	1	канчӏгӏурччин:senses[0].examples[1].ru:луга приняли яркозелёный (светлозелёный) цвет || канчӏгӏурччинаб:senses[0].text:яркозелёный, светлозелёный || канчӏгӏурччинлъи:senses[1].text:яркозелёный, светлозелёный цвет
хурджины	5	сурдины	2	лага:senses[3].examples[3].ru:хомяк, да сгниют его кишки, полностью загрыз мои хурджины || хулжал:senses[0].text:хурджины, чересседельные сумки, перемётные сумы; кому-либо, принимать участие в ком-либо || хулжал:senses[0].examples[0].ru:взвалить хурджины на плечо
тухума	5	тух ума	1	аслу-тухум:senses[0].examples[0].ru:человек известного тухума || ачу:senses[0].examples[0].ru:эти два тухума страшно ненавидят друг друга; между этими двумя тухумами большой гнев || кьибил#3:senses[0].examples[1].ru:девушка из гордой фамилии; дочь человека из гордого тухума
светлосерый	5	светло серый	1	канчӏцӏахӏил:senses[0].examples[0].ru:(с)делать светлосерым; (по)красить в светлосерый цвет || канчӏцӏахӏилаб:senses[0].text:светлосерый || канчӏцӏахӏиллъи:senses[1].text:светлосерый цвет
светлозелёный	5	светло зелёный	1	канчӏгӏурччин:senses[0].examples[1].ru:луга приняли яркозелёный (светлозелёный) цвет || канчӏгӏурччинаб:senses[0].text:яркозелёный, светлозелёный || канчӏгӏурччинлъи:senses[1].text:яркозелёный, светлозелёный цвет
